train_circ_mse_rad_ch,test_circ_mse_rad_ch,train_circ_mse_deg_ch,test_circ_mse_deg_ch,fold,perm,train_circ_mse_rad_sac,train_circ_mse_deg_sac,test_circ_mse_rad_sac,test_circ_mse_deg_sac
3.2771020032314078,3.29579368764845,10758.091265844267,10819.452446140955,3,26,3.1380287545634857,10301.540722000456,3.2793013263342883,10765.311217692137
3.2741621038817366,3.2929313526133286,10748.440145590777,10810.055954511798,4,26,3.111504010056411,10214.465122300193,3.341206577221536,10968.534168403863
3.2732107244049415,3.2900512600783522,10745.316951003086,10800.601168449355,0,27,3.0856484248430727,10129.586242978574,3.3641567032479123,11043.874987856823
3.276984816147863,3.2961985959896176,10757.706563342277,10820.781681814515,1,27,3.139238569295407,10305.512309484746,3.4630986592859694,11368.682269421135
3.2748544041340244,3.299288410741297,10750.712833255106,10830.92494530169,2,27,3.146659441333665,10329.873595334562,3.397035913331237,11151.811067501729
3.2759761543300687,3.298753505749202,10754.3953219218,10829.168955796986,3,27,3.101054638567208,10180.161859221806,3.387397604656649,11120.17036658142
3.2765541645352565,3.2961660708765947,10756.292817493757,10820.674908166946,4,27,3.0921647427062497,10150.978052638506,3.3701251840112123,11063.468354406506
3.2746308024960658,3.3034289420386296,10749.978792378139,10844.517507736986,0,28,3.0892289875350265,10141.340536920336,3.3941300970824235,11142.271835468155
3.2739877141444356,3.2988913754805105,10747.867657853785,10829.621555426396,1,28,3.067561660241965,10070.210897294892,3.392281677545616,11136.20383207524
3.2760015225882544,3.291078258263043,10754.478601000861,10803.972604611508,2,28,3.118023201881898,10235.866366621844,3.407263500625035,11185.386256015108
3.2808128943957993,3.282701758707926,10770.273402922936,10776.474178681101,3,28,3.187336588910224,10463.408793699255,3.1668793324382976,10396.251582249397
3.2786353719624133,3.285580127858655,10763.125018451325,10785.923307206791,4,28,3.1079458679423513,10202.784430773914,3.071943011844404,10084.594026157014
3.272125786117718,3.2876558719690125,10741.755308704413,10792.73757315327,0,29,3.1104455462394722,10210.990390560686,3.140378907501456,10309.255818988722
3.271408720951684,3.2950852255545398,10739.40132262399,10817.126702280324,1,29,3.121382163455188,10246.893187004089,3.4697192350785375,11390.416337673716
3.272905170486664,3.286774827584771,10744.313876659891,10789.845275054042,2,29,3.1236301862179703,10254.273010404719,3.3774994691063203,11087.676704343527
3.2727112615963443,3.2882266865148275,10743.677311323425,10794.61144676895,3,29,3.1147715328064676,10225.191766732885,3.1620992525487703,10380.559505634492
3.273793678522622,3.285915867889393,10747.23067648237,10787.02547671165,4,29,3.0992055870487243,10174.091781155428,3.182706069793723,10448.207696139754
3.276091900770163,3.291954568392591,10754.77529507033,10806.849361069366,0,30,3.047564862169663,10004.565281603236,3.380340024539008,11097.00169775551
3.276528051446259,3.2909867789895806,10756.207093279392,10803.67229587169,1,30,3.105984794048185,10196.3466049413,3.36035940449113,11031.409191385164
3.2748152821890844,3.300783643812152,10750.584403485827,10835.833505921435,2,30,3.042640187874449,9988.398529555167,3.2850939598131665,10784.327311659888
3.2767404282883916,3.2883254008637635,10756.904285325329,10794.935506860476,3,30,3.1306725306531193,10277.391663435395,3.3108697745960263,10868.944320105787
3.2713456068149647,3.279085656768242,10739.194131135184,10764.603216271213,4,30,3.0239287008460565,9926.972341120196,3.2496031808109986,10667.817956984709
3.276414222500885,3.2893691377302616,10755.8334148947,10798.36189287356,0,31,3.1396857514003216,10306.980321738372,3.181645662094346,10444.726583010637
